Numéro enregistrement,Numéro battement,Amplitude 1,Amplitude 2,Amplitude 3,Amplitude 4,Amplitude 5,Centre 1,Centre 2,Centre 3,Centre 4,Centre 5,Ecart-type 1,Ecart-type 2,Ecart-type 3,Ecart-type 4,Ecart-type 5,Période interpics
265,8371,-0.1411350204091853,-0.075282097943774,0.3609937396017404,-0.2917700155542544,-0.1662332081170634,-3.141657178536375,1.263115004088159,1.6654463753666466,2.052801027462439,1.095068943803432,0.003203169688205,0.0007811273128103,0.07517940905282,0.004979885632957,0.0383861652765269,1.5
265,8372,0.0010088352517481,0.0755397278894121,0.5919799286345538,0.0558137195158587,0.0059244804360724,-3.141606121869822,-2.960397766297182,-1.5588826785901144,-0.3745745162846156,2.7549366543569165,0.0090049931830396,-0.0134482483976707,0.1660149502308086,0.0009959357790818,0.0109608798739873,0.44
265,8373,0.0609409056540433,-0.1499623838651061,0.4523908940609741,-0.2758795977468886,-0.1839583379189858,0.0954661555945453,1.3615865069448914,1.7806215972874306,2.161770051557513,1.122854434544295,0.0093947183415457,0.0279964971694736,0.0794524936040948,0.0543875706882556,0.0352028638954085,1.64
265,8374,0.2279442725059417,0.2282972916068377,0.0409839921096346,0.415622911563746,0.5503731326527155,-3.141659527098083,-3.1415926535755863,-2.459579841317745,-1.2534639361779918,-1.2536177286581685,0.003690647350171,0.001,-0.0001212821563119,0.0008842126691656,0.1516845494712839,0.464
265,8375,0.220544428064398,0.2207829091533025,-0.095036009121709,-0.0906702219434323,-0.0843702446200965,-3.1416394076475465,-3.141592653555098,-2.843911135728438,-2.6688640400222883,1.5314016387913156,0.0041162224941226,0.001,0.004566942823531,0.0051876012911515,0.0180436906863268,1.12
265,8377,0.140111214158507,-0.0615693411792228,0.3931313113281476,-0.1863591255300153,-0.1741766666364582,-3.141592658464045,-3.14159265358978,0.3959990739819066,2.032795246440463,3.088743165500052,0.0099986255077022,0.001,0.001,0.001,0.0101071596555865,0.272
265,8378,0.0175285782452677,-0.1477608614011755,0.0767287408642907,0.0366594289054832,0.0693637702753822,-3.1415926606165323,-3.141592653589793,-2.2588310815065227,-0.4933079373405462,-0.4929106383531834,0.0099982409701684,0.001,0.0010000006158476,0.001,0.0169655743000912,0.316
265,8380,0.2517368645006835,0.2517496743964665,-0.0805274159976729,-0.0614559291409304,-0.0599888124965091,-3.141592809797477,-3.141541398541838,-2.0125827937059526,-0.6872233929727671,-0.6872551425605788,0.0099698477200424,0.000968999288509,0.001,0.001,0.004841555550247,0.124
265,8383,-0.0410059725183086,0.1362051471012327,-0.0277481639716578,0.0089364864583121,-0.0381805481943169,-3.1415925810703085,-2.6891932691662666,-1.469090089808177,-0.7458457379026124,0.6552943055176459,0.0100165243034463,0.0113487756526882,0.001,0.001,0.0137482124619694,0.2
265,8385,-0.1499763465617326,0.023976293903497,0.3882643953588769,-0.1847374414272097,-0.0141529595883895,-3.1415929533039613,-1.469090089808177,0.6102374219203193,2.056726125731447,3.0964347589434627,0.0099313342472078,0.001,0.001,0.0010000000538596,0.0100081155132128,0.324
265,8387,-0.1496898016433847,-0.0330232815881205,0.2798510665312695,0.2622524557010774,0.1273682247181052,-3.141592664249368,-3.141592653232554,-0.05235987755983,0.7853981633974483,3.0894308526834657,0.0099971504663006,0.001,0.001,0.001,0.0094659175515248,0.124
265,8389,0.1003748318846729,0.1737693354959966,-0.0295917828224133,0.0205754813377604,0.0184197693194235,-3.1415926547074924,-3.1415926533812355,-1.3546316946671584,0.3170414604540159,0.317059262337162,0.0099997231633005,0.0010000000074731,0.001,0.001,0.0080930588823826,0.348
265,8390,-0.1347651797288427,-0.0507316829491309,0.0254878599121386,0.0182544992967987,0.0169628540017743,-3.141592663096279,-3.141592651963063,-2.296794629095296,-1.663196110724008,-0.3960240634965403,0.0099975368414617,0.0009999999999514,0.0009999993217647,0.001,0.0073672164477328,0.204
265,8395,0.342498217601825,0.2944800529182771,-0.0109461085306161,-0.0181710813813099,-0.1107590948866207,-3.141594370843171,-0.6957889769695513,1.6235076129289538,2.382550103626229,3.0994083691570253,0.0096196115085861,0.001,0.001,0.0010129952379968,0.0099085948846691,0.232
265,8396,-0.0623820974232514,-0.0975349786801072,0.0843002067515089,0.0533306853653844,0.0731512634017398,-3.141596454448944,-3.1415926535886545,-2.259742136318234,-1.23091641982758,0.2382590520826527,0.0092944896155741,0.001,0.0009725777323558,0.001,0.0124205994688871,0.364
