Pic P Amplitude,Pic Q Amplitude,Pic R Amplitude,Pic S Amplitude,Pic T Amplitude,Pic P Centre,Pic Q Centre,Pic R Centre,Pic S Centre,Pic T Centre,Pic P Ecart-type,Pic Q Ecart-type,Pic R Ecart-type,Pic S Ecart-type,Pic T Ecart-type
13.0,-49.0,32.0,-44.0,163.0,-0.4082295538563008,-0.301734887632918,0.27806940624994425,1.4021797719412072,1.851823918217712,1.9522583291399784,-0.15681530952196815,-0.7582112190723379,-1.5046387942724606,-0.6624906153265697
60.0,34.0,45.0,23.0,-14.0,-1.7343177109722834,-0.5153401198317642,-0.29731160759524844,0.0,0.12883502995794105,0.7296555491129822,0.015596667765377888,-0.01134287200431461,0.07490282351836872,0.0999732575593669
52.0,38.0,110.0,3.0,8.0,-0.7969090722183805,-0.6694036206634397,0.49231271572602164,1.2219272440681834,1.4061017852030986,0.001688036330377396,-0.2065977422741349,1.1322266867271282,0.009153226217050232,0.05133462397637881
77.0,11.0,34.0,-15.0,27.0,-1.2978780460776365,-0.2547237286694424,0.08490790955648064,0.21833462457380826,0.5458365614345202,0.4714325785614747,-8.583411759133242e-15,0.032042490854882984,0.1064555118306075,0.08770448430474861
-25.0,-33.0,-14.0,-21.0,116.0,-1.388977397127935,-1.0789910252367223,-0.05365148744271009,1.102836130766815,1.532048030308495,-0.02034516075177522,-0.036575788286521305,-0.08913765807045024,3.0778708417080756,-0.7887473301694796
-18.0,-16.0,18.0,15.0,20.0,0.2628424132485483,0.2878750240341241,0.600782658853825,0.7509783235672813,1.3267283716355305,0.09635807126917764,-0.09654117935672826,-0.03428350346637785,0.07093171737260637,0.0304623178496385
-12.0,-18.0,25.0,-32.0,5.0,-1.7032731254402493,-1.097664903061494,-0.3028041111893778,0.6434587362774278,0.7317766020409961,0.06590575446811617,0.05169049620893978,0.04686713772575348,0.44456685671114704,0.26219897171887263
109.0,0.0,44.0,35.0,6.0,-1.3445229519538782,0.03279324273058215,0.7017753944344634,0.990355930463588,1.5281651112451398,0.6337716401096203,0.09999999999999862,0.006231295885170228,-0.010844176390742333,1.446303990769975
3.0,1.0,28.0,-34.0,107.0,-1.6136062895796632,-1.3501603647503306,-0.40175503536473256,0.9286468850233973,1.4160218459576637,0.03234406343219679,0.09349028055901418,0.5899723517400076,2.785085766889939,0.2796761459133694
4.0,31.0,61.0,-21.0,7.0,-2.733593607669041,-2.638393830287532,-1.2375971059596154,0.3127992685392438,0.5711986642890534,0.04125762752128486,0.10826202397544032,0.796438243318223,0.22953750220899605,0.09919495764972272
